ID,Name,Concepticon_ID,Concepticon_Gloss
1,1sg,1209,I
2,2pl.excl,1213,YOU
3,2pl.incl,,
4,2sg,1215,THOU
5,3sg,262,HE OR SHE OR IT
6,ablative,,
7,"above, top",2379,UP OR ABOVE
8,"achieve, obtain",694,GET
9,aconite,,
10,after,1685,AFTERWARDS
11,afternoon,1807,AFTERNOON
12,agent,,
13,"alive, healthy",1422,BE ALIVE
14,all,98,ALL
15,allative,,
16,amaranth,,
17,angry (vi),2223,BE ANGRY
18,ant,587,ANT
19,arrow,977,ARROW
20,ascend,705,GO UP (ASCEND)
21,ash,646,ASH
22,ask,1309,ASK (INQUIRE)
23,associative,,
24,attic,,
25,axe,677,AXE
26,back (n),1291,BACK
27,back (wards),2910,BACK (DIRECTION)
28,bad,1292,BAD
29,bamboo,1927,BAMBOO
30,banana,868,BANANA
31,barley,932,BARLEY
32,bastard,1947,BASTARD
33,bat,1793,BAT
34,beans,832,BEAN
35,bear,1820,BEAR
36,"beat, hit",1433,HIT
37,beautiful,1427,BEAUTIFUL
38,bee,665,BEE
39,beer filter,,
40,beer strainer,,
41,behind,1686,BEHIND
42,"belly, abdomen",2114,BELLY OR STOMACH
43,belt,772,BELT
44,big,1202,BIG
45,bind (v),1917,TIE
46,bird,937,BIRD
47,bite,1403,BITE
48,bitter (vi),887,BITTER
49,black,163,BLACK
50,blood,946,BLOOD
51,blow,176,BLOW (WITH MOUTH)
52,blow (wind),175,BLOW (OF WIND)
53,"boar, wild",1348,BOAR
54,boil  (water),792,BOIL (OF LIQUID)
55,boil (n),793,BOIL (OF SKIN)
56,bone,1394,BONE
57,borrow,1823,BORROW
58,bow,994,BOW
59,brain,1583,BRAIN
60,branch,1531,BRANCH
61,break,2558,BREAK (CLEAVE)
62,"breast, milk",2129,BREAST OR MILK
63,breath,870,BREATH
64,bridge,1011,BRIDGE
65,"bridge, hanging",,
66,bring,692,BRING
67,brother (elder),1759,OLDER BROTHER
68,brother-in-law,2314,BROTHER-IN-LAW
69,"brother, younger",1760,YOUNGER BROTHER
70,"buckwheat, bitter",,
71,"buckwheat, sweet",,
72,buffalo,934,BUFFALO
73,Bugun,,
74,burn (vi),1428,BURNING
75,"burn, roast (vt)",1962,ROAST (SOMETHING)
76,butter,1245,BUTTER
77,butterfly,1791,BUTTERFLY
78,buy,1869,BUY
79,call for,1084,CALL
80,cane,,
81,"cap, hat",2130,HEADGEAR
82,carry,465,CARRY ON BACK
83,cat,1208,CAT
84,"cattle, cow",1153,CATTLE
85,cave,1155,CAVE
86,charcoal,1188,CHARCOAL
87,chest,1592,CHEST
88,chew,321,CHEW
89,chicken,1318,CHICKEN
90,child,1801,CHILD (DESCENDANT)
91,chili,919,CHILI PEPPER
92,chin,1510,CHIN
93,civet or spotted wild cat,,
94,"civet, palm",,
95,clean,704,CLEAN
97,"cliff, ravine",1930,RAVINE
98,clitoris,,*CLITORIS
99,clothing,1895,CLOTHES
100,"cloud, mist, fog",,*CLOUD OR FOG
101,cockroach,1575,COCKROACH
102,cold,1287,COLD
103,cold (vi),,
104,comb,1475,COMB
105,come,1446,COME
106,comparative degree,,
107,cook,1100,COOK (SOMETHING)
108,"copula, existential",1579,BE
109,"copula, negative",,
110,corpse,767,CORPSE
111,cotton,1850,COTTON
112,cough (vi),879,COUGH
113,count,1420,COUNT
114,cover (v),761,COVER
115,"creeper, vine",,
116,crow,913,CROW
117,cry,1839,CRY
118,cucumber,496,CUCUMBER
119,curcuma sp.,,
120,cure (vi),,
121,cut,2156,CUT (WITH KNIFE)
122,dance,1879,DANCE
123,daughter,1357,DAUGHTER
124,daughter-in-law,1057,DAUGHTER-IN-LAW
125,day after tomorrow,1179,DAY AFTER TOMORROW
126,day after two days,,*DAY AFTER TWO DAYS
127,day before two days,,*DAY BEFORE TWO DAYS
128,day before yesterday,1180,DAY BEFORE YESTERDAY
129,deaf,996,DEAF
130,deep,1593,DEEP
131,"deer, barking",1936,DEER
132,"deer, sambar",,
133,defeat (vi),782,DEFEAT
134,"deity, ghost",1944,GOD
135,descend,2014,GO DOWN (DESCEND)
136,die,1494,DIE
137,dig,1418,DIG
138,dirty,1230,DIRTY
139,disease,1986,DISEASE
140,do,813,DO
141,dog,2009,DOG
142,"dog, wild",2448,WILD DOG
143,door,1567,DOOR
144,down,1326,DOWN
145,down (visible),,
147,dream (n),2374,DREAM
148,drink,1401,DRINK
149,dry (adj.),1398,DRY
150,"dry, dry up (v.i.)",1786,DRY UP
151,dual,,
152,"eagle, buzzard",,*BUZZARD OR EAGLE
153,ear,1247,EAR
154,earthworm,2350,EARTHWORM
155,eat,1336,EAT
156,egg,744,EGG
157,eggplant,1146,AUBERGINE
158,eight,1705,EIGHT
159,elbow,981,ELBOW
160,elephant,1290,ELEPHANT
161,empty,1624,EMPTY
162,excrement,675,FAECES (EXCREMENT)
163,excrete,676,SHIT (DEFECATE)
164,exit,1107,GO OUT
165,eye,1248,EYE
166,face,1560,FACE
167,falcon,,*FALCON
168,fall,1280,FALL
169,far,1406,FAR
170,fast,1631,FAST
171,fat (n),1282,FAT (FROM ANIMALS)
172,father,1217,FATHER
173,fear (vi),1419,FEAR (BE AFRAID)
174,female,1551,FEMALE
175,fence,1690,FENCE
176,"fern, fiddlehead",,
177,fetch,,
178,"few, little",1242,FEW
179,field,212,FIELD
180,finger,1303,FINGER
181,fire,221,FIRE
182,fire prefix,,
183,fish,227,FISH
184,five,493,FIVE
185,flame,889,FLAME
186,flee,956,FLEE
187,float,1574,FLOAT
188,flour,1594,FLOUR
189,flow,2003,FLOW
190,fly (n),1504,FLY (INSECT)
