ID	FREQUENCY	Duhumbi	Jerigaon	Khispi	Khoina	Khoitam	Rahung	Rupa	Shergaon	COGIDS	CONCEPTS
1	1	ɛˀ	ɛ	ɛː	ɛ	ɛ	ɛ	a	a	364:1	eight
1	11	ɛ	ɛ	ɛ	ɛ	a	ɛ	a	a	252:1, 351:1, 393:1, 434:1, 593:1, 607:1, 648:1, 749:1, 762:1, 947:1, 1179:1	cold / ear / fly (vi) / know / leech, land / look / nomen agentis / old / potato-bean / shy, ashamed (vi) / trivet
2	8	ɛ	ɛ	ɛ	ai	ɛ	ɛ	ɛ	ɛ	142:2, 168:2, 270:2, 286:2, 527:2, 649:2, 816:1, 1090:1	bite / cover (v) / horn / louse / play / pull / red / suck
3	5	ɛ	ɛ	ɛ	ɛ	ɛ	ɛ	a	a	82:1, 170:1, 321:1, 379:1, 421:1	arrive / break / dirty / exit / flee
4	4	ɛ	eˀ	ɛ	ɛˀ	eˀ	eˀ	eˀ	eˀ	622:1, 738:1, 1018:1, 1114:1	lie (n) / need to, have to / sow, broadcast / tear (vt)
5	4	ɛ	ɛ	ɛ	ɛ	a	a	a	a	152:1, 337:2, 483:1, 566:1	boar, wild / dream (n) / goral / ice
6	3	ɛ	ɛː	e	aː	ɛː	ɛː	aː	aː	183:1, 199:1, 952:1	brother-in-law / buy / sing
7	3	ɛ	ɛ	e	ɛ	ə	a	ə	a	50:2, 578:1, 946:1	Thembang people / jackal / shoulder
8	3	ɛ	ɛˀ	e	aː	ɛˀ	ɛˀ	aˀ	a	102:1, 415:1, 620:1	bamboo / fire / leg
9	2	ɛ	i	ɛ	i	ɛ	ɛ	i	i	292:1, 479:1	day before two days / gold
10	2	ɛ	a	i	a	a	a	ə	a	767:0, 808:1	other / pine kindle
11	2	ɛ	ɐʰ	i	ɐʰ	ɔʰ	ɔʰ	ɔ	ɔ	820:1, 908:1	porcupine / sand
12	2	ɛ	y	u	y	ə	ə	ə	ə	1214:1, 1259:1	walking stick / wing
13	2	ɛ	Ø	e	ɐː	oː	oː	oː	oː	759:1, 815:1	oil / play
14	2	ɛ	ɛ̃ĩ	e	ɛ̃ː	ĩː	ĩː	ɛ̃ː	ɛ̃ː	599:1, 1014:1	lap / sour
